lat,lon,detection_date,detection_confidence,fire_radiative_power
28.57938,17.32803,2026-05-18,nominal,2.58
30.38988,7.90733,2026-05-18,nominal,0.89
30.25786,8.08575,2026-05-18,nominal,0.96
30.25452,8.085,2026-05-18,nominal,0.71
30.37679,7.00986,2026-05-18,nominal,3.36
27.5825,18.46552,2026-05-18,nominal,0.71
27.58125,18.47043,2026-05-18,nominal,0.71
29.70159,6.71498,2026-05-18,nominal,0.59
29.69892,6.71034,2026-05-18,nominal,0.79
29.69625,6.7057,2026-05-18,nominal,0.79
29.69562,6.70965,2026-05-18,nominal,0.79
29.66937,6.72456,2026-05-18,nominal,1.44
28.52703,9.12333,2026-05-18,nominal,0.56
28.68349,7.19464,2026-05-18,nominal,2.78
28.07824,9.78926,2026-05-18,nominal,2.56
